descripcion,categoria
Almorcé en Subway,comida
Compré un combo en McDonald's,comida
Cena en restaurante chino,comida
Compré verduras en la feria,comida
Pagué la cuenta del supermercado,comida
Pedí una pizza por Uber Eats,comida
Café en Starbucks,comida
Compré pan y leche,comida
Hice mercado en Walmart,comida
Compré una hamburguesa,comida
Pagué el bus al trabajo,transporte
Usé Uber para ir a casa,transporte
Recargué la tarjeta del tren,transporte
Pagué taxi nocturno,transporte
Gasolina para el auto,transporte
Pasaje de avión a otra ciudad,transporte
Estacionamiento en el centro,transporte
Pagué peaje en carretera,transporte
Compré una bicicleta,transporte
Alquiler de scooter eléctrico,transporte
Fui al cine,entretenimiento
Netflix mensual,entretenimiento
Spotify Premium,entretenimiento
Entrada a un concierto,entretenimiento
Salí a jugar boliche,entretenimiento
Compré videojuegos,entretenimiento
Suscripción a Disney+,entretenimiento
Pagué por un libro,entretenimiento
Suscripción a YouTube Premium,entretenimiento
Fui al teatro,entretenimiento
Pagué consulta médica,salud
Compré medicamento en farmacia,salud
Me hice un examen de sangre,salud
Cita con el dentista,salud
Compré vitaminas,salud
Consulta psicológica,salud
Renové mis anteojos,salud
Me hice una radiografía,salud
Pagué seguro médico,salud
Compré gotas para los ojos,salud
Alquiler mensual de la casa,vivienda
Pagué el recibo de electricidad,vivienda
Recibo del agua potable,vivienda
Pagos del internet,vivienda
Reparación de tubería,vivienda
Pago del gas,vivienda
Servicio de limpieza del hogar,vivienda
Compré focos y bombillos,vivienda
Mantenimiento del refrigerador,vivienda
Pagué el impuesto municipal,vivienda
Donación a una iglesia,otros
Compré un regalo,otros
Retiré efectivo,otros
Pagué una deuda,otros
Gasto sin categoría,otros
