texto_extraido,name,date,amount,categoria
"SERVICIOS DE PASTELERIA S.A.\nSPOON CIUDAD DEL ESTE\nCéd Jur: 3101038818\nTel: 40556705\nFecha: 01/04/2025 13:00:24\nFACTURA ELECTRONICA REGF- 2561\nmarero:Acampos Mesa: 15\njente:DISTRIBUIDORA LA FLORIDA SOCJE\nnai] :recepoionfacturaséfifco.con\ndula:3101295868\nmero de orden:\n\n1 ENSALADA DE SALMON 5,682,95\n\n1 LIMONADA FRESA 16 2,276, 44\nSubTotal: 7,959, 39\n\n13% 1034, 72\n\n10% 795,94\n\nTOTAL 9790 ,05\n\nFORMA DE PAGO Entregado CAMBIO\nDATAFONO —_9790, 10 0,00\nRedondeo 9999999998\nGracias por su preferencia\nPara toda devolucion de producto es\nindispensable la presentacion de esta\nfactura, 24 horas realizada la compra\nAutorizado mediante resolucién\nIGT-R-033-2019 del 1 de julio del 2019\nConsulta tu saldo SPOONERS al\ningresar en wwH.spooncr .con\n‘0 en Spoon App\n\nClave de Facturacién Electronica\n1601042500310 1038818035000060 1000000252\n\nionsecutivo de Facturacién Electronica\n500006010000002525", SPOON, 01/04/2025, 9790.05, comida
"FACTURA ELECTRONICA CONTADO\n\nNSECUTIVO - o0snu00 ro T0N00024028\nchun\n\nGoocadl SA\nCED JWR ant\n\nTELEFONO .vso1347\nDIRECCION. Sent Ana Linlva Gata\ncomets Plaza Vislang Local 10\nIN@GEOCADCK GON\n\nCONSECUINOINTERKO\nREDIODE PAGO\nNOREDA CRE\n\nCCUENIE: DISTRIBUIBORAT A FLORA $4\nTELEFOND 22747014\n\nGant “Coage Descripcon Total\nHos Brena an\n\nGracias por su compra\n\ncn", GEOCADCK, 02/04/2025, 1187.70, ofimatica
"BOCCA CANTINA\nPLAZA CARIARI LOCAL C18\n2234-1380\nCédula Juridica’ 3101863218\nAulorizacion segiin Resoluci6n\nBOGGA CANTINA DE VINOS 8.4\nConsecutive Interne: Serie: FAC No\n4963\nclave fa: 506020425003101963218001\n90001010000990233169575817\nACTURA ELECTRONIGA: 0010000101000\n0000233\n\nORDEN #109855\n\ngia de Wipe SS 725\n\nCAJERO: MAURICIO SANCHEZ\nCLIENTE: DISTRIBUIDORA LA FLORIDA S.A\nCORREO: dala sandino@titco. com\nTELEFONO: 00000000\nNIT. 3101205868\nCondicién de la venta: Contado\nMedio de paga Taneta\nCANTSERVICI P.UNITARICFOTAL\n2,00 HAMBURGUESA LA BOCCA\n\n7610.62 16,221.24\n\n‘SUB-TOTAL 15,221,24\n\nDESCUENTO 3,044.25\nVv 11583 01\nServicio 4217.70\nGRAN TOTAL 14,977.70\nTOTAL EN §. 2061\nCANCELO CON :\n\n(Tarjeta) € 14,977.70\n\nboccantina@gmall.com\nGracias por su visita", BOCCA CANTINA, 02/04/2025, 14977.70, comida
"WIKIPED PASEO\nWIKI LINA CHENG S.RLL\n\n3102916651\nHeredia, Mall Paseo de las Flores locales 19 y 20\n40101 Heredia\n61771770\nFACTURA ELECTRONICA F000401-68\nORIGINAL,\nabr. 04 2025 05:16 p. m. TIFFANY\nfisco\nNIF: 3101295868\n70103624\n07) TE STRAWLEMON €3600\n1 Articulos ToTAL = 3,600\nTarjeta de credito 3,600\nImpuestos incluidos Base Cuota\n\n13.0% 3,186 414\n\nConsecutivo: 11100001010000000068\n\nClave:\n$060404250031029166511110000101000000006830404\n2501\n\n‘Autorizada mediante resolucion No DGT R 033-2019\ndel 20 de junio del 2019\n\nVersion: 43\n\n+** Muchas gracias por su visita ***", WIKIPED, 04/04/2025, 3600.00, comida
"WIKIPED PASEO\nWIKI LINA CHENG S.RLL\n\n3102916651\nHeredia, Mall Paseo de las Flores locales 19 y 20\n40101 Heredia\n61771770\nFACTURA ELECTRONICA F000401-68\nORIGINAL,\nabr. 04 2025 05:16 p. m. TIFFANY\nfisco\nNIF: 3101295868\n70103624\n07) TE STRAWLEMON €3600\n1 Articulos ToTAL = 3,600\nTarjeta de credito 3,600\nImpuestos incluidos Base Cuota\n\n13.0% 3,186 414\n\nConsecutivo: 11100001010000000068\n\nClave:\n$060404250031029166511110000101000000006830404\n2501\n\n‘Autorizada mediante resolucion No DGT R 033-2019\ndel 20 de junio del 2019\n\nVersion: 43\n\n+** Muchas gracias por su visita ***", WIKIPED, 04/04/2025, 3600.00, comida
"Restaurante Isabella's\n{La Asuncion, Plaza Manantia| focal\n\nHeredia, Belén\nCosta Rica\n2102-6081\n\nCedula Juridica 3102786115\nauforwagion segun Resolucién\n3102786115SRL\n\nPRECUENTA\n\nORDEN #36407\n\nVora de mpresion 4/4/2025- 14:20 pm\nLLEVAR\nCLIENTE. DISTRIBUIDORA LA FLORIDA 5.4\nCORREO. dalila sandno@iico com\nEFONO, (0921237\nNIT iC ‘9868\nCondicic, dela venta, Cantado\nMedio de pago' Otros\nCANTSERVICIO. —P.UNITARICTOTAL.\n7 0D (PLISALMION PICATIA\n41,460 18 11,460 18\nESTIMADO CLIENTE,\n\nESTO ES UNA ORDEN DE SERVICIO.\nHl! SOLICITE SU FACTURA !I!\n\nBESCLENTO\nIVA\n\nTOTAL e.\nServicio @\n\nGRAN TOTAL ¢:\n\nServicie $\n\nTOTAL EN $\n\nGracias por su visita", Restaurante Isabella's La Asuncion, 4/4/2025, 12950, comida
"Restaurante Isabella's\n{La Asuncion, Plaza Manantia| focal\n\nHeredia, Belén\nCosta Rica\n2102-6081\n\nCedula Juridica 3102786115\nauforwagion segun Resolucién\n3102786115SRL\n\nPRECUENTA\n\nORDEN #36407\n\nVora de mpresion 4/4/2025- 14:20 pm\nLLEVAR\nCLIENTE. DISTRIBUIDORA LA FLORIDA 5.4\nCORREO. dalila sandno@iico com\nEFONO, (0921237\nNIT iC ‘9868\nCondicic, dela venta, Cantado\nMedio de pago' Otros\nCANTSERVICIO. —P.UNITARICTOTAL.\n7 0D (PLISALMION PICATIA\n41,460 18 11,460 18\nESTIMADO CLIENTE,\n\nESTO ES UNA ORDEN DE SERVICIO.\nHl! SOLICITE SU FACTURA !I!\n\nBESCLENTO\nIVA\n\nTOTAL e.\nServicio @\n\nGRAN TOTAL ¢:\n\nServicie $\n\nTOTAL EN $\n\nGracias por su visita", Restaurante Isabella's La Asuncion, 4/4/2025, 12950, comida
"OXIGENO HUAN\nPLAYGROUND\nEstacion 401 S.A\nCedula Juridica:\n3-101 -643023,\n\nTIQUETE ELecTRONICO\nBOLETA ELECTRONICA\nCOBRO ESTANCIA\n\nMAR, TERMINAL: @1-055\nFecha de Entrada:\n07/04/2025 11:17:42\nFecha de Salida\n07/84/2025 01:13:39\nFecha de Pago\n07/04/2025 01:13:59\nburacion Tarifa: 1:56\nTiquet de rotacién\nCarro QR\nMATRICULA: 01747952\n\nCREDLEMY #1, 300,00\nN000000000009557\n\nBASE #1.150,43\nVA 4149, 56\nINPORTE #2. 300,00\nDESCUENTOS : 40,00\nTort #1. 300,00\n\nAUNORIZADO NEDLANTE\nOF C10 DET -R-48-2016,\nDEL 07-10 2016 DGID\n\nConsecutive: OEM ORAR?g\nDOCUBEI —-LRDORRO.\ntamer ic", OXIGENO HUAN \nPLAYGROUND, 07/04/2025, 1300.00, estacionamiento
"OXIGENO HUAN\nPLAYGROUND\nEstacion 401 S.A\nCedula Juridica:\n3-101 -643023,\n\nTIQUETE ELecTRONICO\nBOLETA ELECTRONICA\nCOBRO ESTANCIA\n\nMAR, TERMINAL: @1-055\nFecha de Entrada:\n07/04/2025 11:17:42\nFecha de Salida\n07/84/2025 01:13:39\nFecha de Pago\n07/04/2025 01:13:59\nburacion Tarifa: 1:56\nTiquet de rotacién\nCarro QR\nMATRICULA: 01747952\n\nCREDLEMY #1, 300,00\nN000000000009557\n\nBASE #1.150,43\nVA 4149, 56\nINPORTE #2. 300,00\nDESCUENTOS : 40,00\nTort #1. 300,00\n\nAUNORIZADO NEDLANTE\nOF C10 DET -R-48-2016,\nDEL 07-10 2016 DGID\n\nConsecutive: OEM ORAR?g\nDOCUBEI —-LRDORRO.\ntamer ic", OXIGENO HUAN \nPLAYGROUND, 07/04/2025, 1300.00, estacionamiento
"Cafeteria Sula §.4,\n\nCed: 3101743501\n\nTelf: 48001840\n\nEmail: infotsulacafeteria.com\nFactura Electronica\n\nNo Interno:0000004609\n\nFecha :08/04/2025 14:19:11\nPy:Heredia - San Francisco\n\n:Keyshel] Dareynis Maltez Chavez\nCliente:Distribuidora la Florida Socieda\n\nCant Producto Precio\n100 ona 4,637.40\n1.00 Limonada de Coco 2,845.53\n9.00\nGrav; 7,682.99\nDesc: 0.00\nIva: 998.78\nServ; 768.29\n\nTotal: 9,451.00\n\n++ ORDEN 18\n\nAutorizado Resol No DGT-033-2019\nDel 20 de junio de 2019\nOesarrollado por Integrasoft\nTel :83410095\nhttps: //ww. integrasof ter .com", Cafeteria Sula, 08/04/2025, 9451.00, comida
